status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.066994,0.0288396,0.118888,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.003,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0438228,0.0257637,0.087687,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0455268,0.0246219,0.0883942,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.002,149,128
$,normalized-4_5_0.opb,0,-,0,0.0217664,0.0354378,20,69
&,normalized-sha1-size144-round21-6.opb,timeout,-1,-1,-1,-1,3968,7920
$,normalized-7_7_7.opb,0,-,0.0667094,0.0301826,0.123371,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0028,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.7806,0.0442788,40.887,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.003,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.710634,0.452908,2.06519,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0019,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.38133,1.2322,6.09225,75527,272784
*,clauses-2.opb,1,0,0,0,0.002,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0930477,0.0243952,0.133512,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0018,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0608721,0.0221106,0.102343,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.002,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0521731,0.0262638,0.0964818,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0014,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0503928,0.0249705,0.0970379,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0022,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0725266,0.025711,0.112832,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,60,160
$,normalized-8_7_19.opb,0,-,194.11,0.0425811,194.208,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.0031,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.415787,0.150568,0.836818,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0018,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.923231,0.0271589,0.965988,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.145143,0.0469699,0.269841,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0016,6435,2146
$,normalized-8_7_20.opb,1,-,0.371871,0.0460768,0.489901,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.0032,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0902348,0.0242814,0.170675,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0017,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.51495,0.084554,0.829568,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0018,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0939001,0.0252251,0.137496,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.0021,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0421331,0.0283694,0.0878743,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0038,141,70
$,normalized-107.opb,1,-,8.49735,1.21321,13.0299,10238,224043
*,normalized-107.opb,1,0,0,0,0.0261,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0508684,0.0372289,0.113862,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0015,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,61.9673,0.105469,62.3036,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0016,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0708409,0.0216074,0.109113,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.002,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0410732,0.0266059,0.0830242,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.002,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0445285,0.0237591,0.0841029,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0039,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0567277,0.0217906,0.116474,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0019,138,277
$,normalized-7_7_12.opb,0,-,0.796532,0.0343305,0.864945,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0029,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.00441,1.71242,7.18673,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.0017,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.04295,0.0217414,0.0805413,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.153079,0.031299,0.236673,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0014,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.6661,0.3278,82.7111,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0018,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.127021,0.0321725,0.212796,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0015,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.29223,0.0282409,1.36713,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0013,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.2306,0.0630898,81.4542,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0018,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0765167,0.0251452,0.117389,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0021,78,208
$,normalized-ECgrid5x70split.opb,0,-,154.685,0.0266919,154.77,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0034,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.042629,0.0238656,0.0812168,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.002,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.133907,0.0283439,0.178679,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0428644,0.0265756,0.0836887,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0021,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.1569,0.395011,16.1018,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.0019,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.579,0.0269479,131.622,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.62322,0.021985,3.66288,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,117,312
$,normalized-5_7_7.opb,0,-,0.0616487,0.029093,0.113972,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.003,156,677
&,normalized-j12047_6-sat.opb,timeout,-1,-1,-1,-1,33396,116135
$,uts-l06-ipc5-h28-unknown.opb,0,-,69.3243,2.82527,78.563,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.002,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.6517,0.0851284,78.9372,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.0016,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.7884,0.754105,83.2568,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0017,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.050678,0.0258029,0.144328,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0024,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,120.486,3.72352,135.137,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,0,0,0,0.0023,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,207.615,0.0265639,207.659,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0036,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.493158,0.0201546,0.530048,105,280
*,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,105,280
$,normalized-j1204_7-sat.opb,1,-,0.213535,0.352258,1.19956,19844,62356
*,normalized-j1204_7-sat.opb,1,0,0,0,0.0017,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.0731135,0.0327669,0.153689,5250,145
*,normalized-pigeon-cardinality-75-70.opb,1,0,0,0,0.0012,5250,145
&,normalized-TateBritain_K90.opb,timeout,-1,-1,-1,-1,6120,6302
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.11977,0.0528068,0.312463,2280,1636
*,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0426114,0.0232716,0.0855581,301,300
*,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0575645,0.0230616,0.0953615,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.002,88,177
$,itox_vc909.opb,1,-,0.774824,1.56729,6.59761,112115,327768
*,itox_vc909.opb,1,0,0,0,0.002,112115,327768
$,normalized-2_3_4.opb,0,-,0.0434302,0.0254386,0.0845952,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0035,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,0.999937,0.0323647,1.07673,231,2707
*,normalized-t3002.11tsp11.1900670167.opb,1,0,0,0,0.0015,231,2707
&,rbsat-v945c61409g10.opb,timeout,-1,-1,-1,-1,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.337219,0.0860999,0.642012,257,7375
*,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,1,0,0,0,0.0014,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0914923,0.0364974,0.185353,6480,161
*,normalized-pigeon-cardinality-81-80.opb,1,0,0,0,0.0014,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
$,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.166718,0.0268475,0.20897,72,192
*,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,72,192
$,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.053916,0.0287465,0.108419,293,236
*,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,0,0,0,0.0018,293,236
$,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.211134,0.02787,0.255285,105,280
*,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,105,280
$,normalized-8_6_25.opb,0,-,328.811,0.0538115,328.939,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.003,1122,5318
$,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.375468,0.0223872,0.415721,78,208
*,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,78,208
$,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,0,-,0.0434094,0.0217536,0.082357,281,280
*,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0019,281,280
$,normalized-chnl50_60_pb.cnf.cr.opb,0,-,0.0735597,0.0308446,0.154902,6000,220
*,normalized-chnl50_60_pb.cnf.cr.opb,1,0,0,0,0.0013,6000,220
$,normalized-t2001.13queen13.1110967729.opb,0,-,0.0929046,0.025933,0.137451,169,101
*,normalized-t2001.13queen13.1110967729.opb,1,0,0,0,0.0021,169,101
$,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,-,108.983,0.0287594,109.04,210,840
*,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,0,0,0,0.0013,210,840
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0695448,0.0255213,0.110321,75,200
*,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,75,200
$,normalized-6_6_14.opb,0,-,0.739951,0.0388821,0.813592,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.003,420,1925
$,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,0,-,13.6681,0.0247501,13.7074,61,132
*,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0024,61,132
$,"normalized-ppp_1,3-13,19.opb",1,-,31.3586,0.122613,31.9241,4608,30348
*,"normalized-ppp_1,3-13,19.opb",1,0,0,0,0.0031,4608,30348
&,normalized-vdw_k5_l4_n750.opb,timeout,-1,-1,-1,-1,3750,467625
$,normalized-j6028_7-sat.opb,1,-,0.085234,0.18497,0.594784,9272,30380
*,normalized-j6028_7-sat.opb,1,0,0,0,0.0016,9272,30380
$,UR-10-5p0.opb,0,-,97.1782,2.39164,104.004,104479,500869
*,UR-10-5p0.opb,1,0,0,0,0.0023,104479,500869
$,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,0,-,0.0412637,0.0229644,0.0778895,89,88
*,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0023,89,88
$,normalized-pigeon-cardinality-71-70.opb,0,-,0.0706706,0.0279751,0.144851,4970,141
*,normalized-pigeon-cardinality-71-70.opb,1,0,0,0,0.0013,4970,141
&,normalized-41.opb,timeout,-1,-1,-1,-1,5690,119124
&,AProVE07-20.opb,timeout,-1,-1,-1,-1,7847,73394
$,normalized-t2001.13queen13.1111223596.opb,1,-,0.112293,0.0238305,0.157465,169,101
*,normalized-t2001.13queen13.1111223596.opb,1,0,0,0,0.0021,169,101
$,normalized-j3025_1-sat.opb,1,-,0.46457,0.117703,0.805282,5828,19158
*,normalized-j3025_1-sat.opb,1,0,0,0,0.0014,5828,19158
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.336243,0.0238286,0.378839,270,541
*,normalized-vertexcover-grid10x27-hard.opb,1,0,0,0,0.0015,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0.0429068,0.0258273,0.0896495,41,821
*,normalized-vertexcover-completegraph-41.opb,1,0,0,0,0.0013,41,821
$,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,-,63.5612,0.0279845,63.6197,240,960
*,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,0,0,0,0.0012,240,960
$,normalized-tseitin-regular-n72-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.519116,0.0238761,0.558759,108,288
*,normalized-tseitin-regular-n72-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,108,288
$,normalized-t2001.13queen13.1110969860.opb,0,-,0.113805,0.0295212,0.161169,169,101
*,normalized-t2001.13queen13.1110969860.opb,1,0,0,0,0.0018,169,101
&,normalized-ECgrid5x110split.opb,timeout,-1,-1,-1,-1,1101,551
$,em_8_4_5_all.opb,1,-,9.47338,0.194526,10.4132,2420,62900
*,em_8_4_5_all.opb,1,0,0,0,0.0017,2420,62900
&,eq.atree.braun.10.unsat.opb,timeout,-1,-1,-1,-1,1111,3756
$,normalized-3_5_3.opb,0,-,0.0257286,0.0232672,0.0648575,42,161
*,normalized-3_5_3.opb,1,0,0,0,0.0033,42,161
&,normalized-3col-almost3reg-l060-r059-n1.opb,timeout,-1,-1,-1,-1,3282,6986
&,normalized-ECgrid5x150split.opb,timeout,-1,-1,-1,-1,1501,751
$,xinetd_vc56687.opb,0,-,0.575504,1.33285,4.64688,110822,286158
*,xinetd_vc56687.opb,1,0,0,0,0.0018,110822,286158
$,normalized-ECrand4regsplit-v080-n1.opb,0,-,0.0700871,0.034209,0.119455,159,80
*,normalized-ECrand4regsplit-v080-n1.opb,1,0,0,0,0.0037,159,80
$,normalized-rand6reg-v041-n2.opb,0,-,0.294273,0.0266421,0.336438,123,41
*,normalized-rand6reg-v041-n2.opb,1,0,0,0,0.0039,123,41
$,normalized-fpga12_11_sat_pb.cnf.cr.opb,1,-,0.049019,0.0260568,0.0944185,198,166
*,normalized-fpga12_11_sat_pb.cnf.cr.opb,1,0,0,0,0.002,198,166
&,normalized-167.opb,timeout,-1,-1,-1,-1,106196,2493137
$,normalized-reduced-prob4.opb,1,-,0.0430301,0.024784,0.0877742,82,2
*,normalized-reduced-prob4.opb,1,0,0,0,0.0019,82,2
$,normalized-pigeon-cardinality-51-50.opb,0,-,0.0580008,0.0297328,0.118487,2550,101
*,normalized-pigeon-cardinality-51-50.opb,1,0,0,0,0.0011,2550,101
$,normalized-t3002.11tsp11.1900552423.opb,0,-,0.165731,0.0295919,0.241245,231,2707
*,normalized-t3002.11tsp11.1900552423.opb,1,0,0,0,0.0012,231,2707
$,normalized-3_4_7.opb,0,-,0.0492158,0.0234508,0.0922789,110,465
*,normalized-3_4_7.opb,1,0,0,0,0.0032,110,465
$,normalized-ECrand4regsplit-v070-n1.opb,0,-,0.090721,0.0253773,0.131038,139,70
*,normalized-ECrand4regsplit-v070-n1.opb,1,0,0,0,0.0036,139,70
$,normalized-t3002.11tsp11.1900581321.opb,1,-,0.143444,0.0328244,0.2278,231,2707
*,normalized-t3002.11tsp11.1900581321.opb,1,0,0,0,0.0012,231,2707
&,normalized-5_6_33.opb,timeout,-1,-1,-1,-1,1482,7073
$,normalized-7_7_11.opb,0,-,0.358559,0.0433386,0.434151,342,1553
*,normalized-7_7_11.opb,1,0,0,0,0.0029,342,1553
$,rbsat-v760c43649gyes6.opb,1,-,8.30973,0.120566,8.86561,760,43649
*,rbsat-v760c43649gyes6.opb,1,0,0,0,0.0015,760,43649
$,normalized-pigeon-cardinality-91-90.opb,0,-,0.13606,0.0422061,0.247557,8190,181
*,normalized-pigeon-cardinality-91-90.opb,1,0,0,0,0.0015,8190,181
$,normalized-j1208_6-sat.opb,1,-,316.336,0.367259,317.401,20812,65671
*,normalized-j1208_6-sat.opb,1,0,0,0,0.0013,20812,65671
$,normalized-3_6_2.opb,0,-,0.0259026,0.0223732,0.0635308,30,110
*,normalized-3_6_2.opb,1,0,0,0,0.0021,30,110
$,normalized-t3002.11tsp11.1900670675.opb,0,-,0.552601,0.034228,0.631354,231,2707
*,normalized-t3002.11tsp11.1900670675.opb,1,0,0,0,0.0014,231,2707
$,vmpc_25.opb,1,-,4.77682,0.233766,5.94043,625,76775
*,vmpc_25.opb,1,0,0,0,0.0019,625,76775
$,normalized-t2001.13queen13.1110970170.opb,1,-,0.158691,0.027317,0.207769,169,101
*,normalized-t2001.13queen13.1110970170.opb,1,0,0,0,0.0021,169,101
&,normalized-NG_K180.opb,timeout,-1,-1,-1,-1,21420,21782
$,normalized-t3002.11tsp11.1900667195.opb,0,-,8.66314,0.0310709,8.7395,231,2707
*,normalized-t3002.11tsp11.1900667195.opb,1,0,0,0,0.0012,231,2707
$,normalized-vertexcover-grid6x13.opb,0,-,0.0442369,0.0273928,0.0863745,78,157
*,normalized-vertexcover-grid6x13.opb,1,0,0,0,0.0023,78,157
$,normalized-subsetcard-geq-random4regular-60.opb,0,-,0.0409967,0.0277989,0.0819933,241,120
*,normalized-subsetcard-geq-random4regular-60.opb,1,0,0,0,0.002,241,120
$,normalized-tseitin-regular-n92-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,39.6598,0.0211688,39.6972,138,368
*,normalized-tseitin-regular-n92-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0016,138,368
&,normalized-sha1-size144-round23-8.opb,timeout,-1,-1,-1,-1,4288,9520
&,normalized-5_6_31.opb,timeout,-1,-1,-1,-1,1332,6341
$,sat-grid-pbl-0070.sat05-1334.reshuffled-07.opb,1,-,0.660754,0.0826926,0.936785,4970,9731
*,sat-grid-pbl-0070.sat05-1334.reshuffled-07.opb,1,0,0,0,0.0017,4970,9731
$,normalized-vertexcover-grid6x27-hard.opb,0,-,0.0560245,0.0251832,0.0954621,162,325
*,normalized-vertexcover-grid6x27-hard.opb,1,0,0,0,0.0016,162,325
$,normalized-vertexcover-grid4x25.opb,0,-,0.0521862,0.0254803,0.0952958,100,201
*,normalized-vertexcover-grid4x25.opb,1,0,0,0,0.0021,100,201
&,normalized-j9045_1-sat.opb,timeout,-1,-1,-1,-1,26754,93164
$,normalized-tseitin-regular-n54-d3-i1-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.251259,0.0271025,0.294469,81,216
*,normalized-tseitin-regular-n54-d3-i1-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0022,81,216
&,normalized-sha1-size128-round22-7.opb,timeout,-1,-1,-1,-1,4128,8704
&,normalized-sha1-size144-round22-8.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-t2001.13queen13.1110975607.opb,0,-,0.0646213,0.0239771,0.106889,169,101
*,normalized-t2001.13queen13.1110975607.opb,1,0,0,0,0.0019,169,101
$,normalized-fpga12_12_sat_pb.cnf.cr.opb,1,-,0.050688,0.0262138,0.0987371,216,180
*,normalized-fpga12_12_sat_pb.cnf.cr.opb,1,0,0,0,0.002,216,180
$,normalized-5_6_5.opb,0,-,0.0548018,0.0269438,0.100852,110,465
*,normalized-5_6_5.opb,1,0,0,0,0.003,110,465
$,normalized-tseitin-regular-n42-d3-i3-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.0393755,0.0262914,0.081622,63,168
*,normalized-tseitin-regular-n42-d3-i3-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,63,168
$,normalized-regular-n21-d4-i2.cnf.gz-extracted.pb.metafix.opb,0,-,0.0423582,0.0267137,0.0834241,85,84
*,normalized-regular-n21-d4-i2.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.002,85,84
&,sgen1-sat-160-100.opb,timeout,-1,-1,-1,-1,160,384
$,normalized-2_5_3.opb,1,-,0.0412101,0.0293926,0.0871372,30,110
*,normalized-2_5_3.opb,1,0,0,0,0.0038,30,110
&,normalized-sha1-size80-round21-3.opb,timeout,-1,-1,-1,-1,3968,7856
&,normalized-sha1-size160-round23-6.opb,timeout,-1,-1,-1,-1,4288,9536
&,normalized-137.opb,timeout,-1,-1,-1,-1,48411,1121517
$,normalized-t3002.11tsp11.1900559641.opb,1,-,0.427547,0.0291677,0.508119,231,2707
*,normalized-t3002.11tsp11.1900559641.opb,1,0,0,0,0.0013,231,2707
$,normalized-dbst_v50_e1000_d25_mw10_3.opb.PB06.opb,1,-,81.0909,6.94775,121.706,4500,2559501
*,normalized-dbst_v50_e1000_d25_mw10_3.opb.PB06.opb,1,0,0,0,0.027,4500,2559501
$,normalized-vertexcover-grid4x21-hard.opb,0,-,0.0463748,0.0313626,0.090054,84,169
*,normalized-vertexcover-grid4x21-hard.opb,1,0,0,0,0.0021,84,169
&,normalized-sha1-size96-round22-4.opb,timeout,-1,-1,-1,-1,4128,8672
$,normalized-compression64_27.opb,1,-,0.571252,0.630396,3.39641,8372,41046
*,normalized-compression64_27.opb,1,0,0,0,0.0036,8372,41046
$,normalized-rand6reg-v051-n3.opb,0,-,0.0909748,0.0305251,0.136542,153,51
*,normalized-rand6reg-v051-n3.opb,1,0,0,0,0.0039,153,51
$,normalized-t3002.11tsp11.1900556231.opb,0,-,4.08511,0.0297952,4.1631,231,2707
*,normalized-t3002.11tsp11.1900556231.opb,1,0,0,0,0.0013,231,2707
$,normalized-tseitin-regular-n88-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,22.0457,0.0269155,22.0892,132,352
*,normalized-tseitin-regular-n88-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,132,352
$,normalized-t2001.13queen13.1110973364.opb,0,-,0.0897392,0.0206359,0.130463,169,101
*,normalized-t2001.13queen13.1110973364.opb,1,0,0,0,0.0019,169,101
&,normalized-sha1-size80-round23-4.opb,timeout,-1,-1,-1,-1,4288,9456
$,normalized-7_7_18.opb,1,-,5.69734,0.0419653,5.79798,650,3030
*,normalized-7_7_18.opb,1,0,0,0,0.0031,650,3030
