status,file,sol,obj,rsTime,preTime,totTime,variables,Constraints
$,normalized-6_6_7.opb,0,-,0.0653031,0.0309604,0.119945,182,798
*,normalized-6_6_7.opb,1,0,0,0,0.0028,182,798
$,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,0,-,0.0454085,0.0240673,0.0886737,345,344
*,normalized-fixed-bandwidth-86.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,345,344
$,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,-,0.0479557,0.0219489,0.0888107,149,128
*,normalized-fpga11_9_sat_pb.cnf.cr.opb,1,0,0,0,0.0021,149,128
$,normalized-4_5_0.opb,0,-,0,0.0228605,0.0368011,20,69
$,normalized-sha1-size144-round21-6.opb,1,-,1177.24,0.0740411,1177.47,3968,7920
*,normalized-sha1-size144-round21-6.opb,1,0,0,0,0.0036,3968,7920
$,normalized-7_7_7.opb,0,-,0.064445,0.0305416,0.121292,210,929
*,normalized-7_7_7.opb,1,0,0,0,0.0028,210,929
$,normalized-3col-almost3reg-l045-r044-n1.opb,0,-,40.8168,0.0475388,40.9276,2484,5292
*,normalized-3col-almost3reg-l045-r044-n1.opb,1,0,0,0,0.0029,2484,5292
&,normalized-sha1-size160-round22-4.opb,timeout,-1,-1,-1,-1,4128,8736
$,normalized-j12035_4-sat.opb,1,-,0.711044,0.461284,2.07222,24684,81723
*,normalized-j12035_4-sat.opb,1,0,0,0,0.0019,24684,81723
&,normalized-j12052_5-unsat.opb,timeout,-1,-1,-1,-1,37752,131628
$,clauses-2.opb,1,-,1.37347,1.23231,6.04823,75527,272784
*,clauses-2.opb,1,0,0,0,0.0019,75527,272784
$,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0931878,0.0217049,0.131169,75,200
*,normalized-tseitin-regular-n50-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,75,200
$,normalized-t2001.13queen13.1110970277.opb,1,-,0.0611154,0.0219452,0.105565,169,101
*,normalized-t2001.13queen13.1110970277.opb,1,0,0,0,0.0019,169,101
$,normalized-vertexcover-grid10x25.opb,0,-,0.0529611,0.0226291,0.0942253,250,501
*,normalized-vertexcover-grid10x25.opb,1,0,0,0,0.0016,250,501
&,normalized-5_6_30.opb,timeout,-1,-1,-1,-1,1260,5990
$,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,-,0.0515889,0.0272144,0.100396,234,193
*,normalized-fpga13_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0019,234,193
$,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.0723857,0.0246949,0.11242,60,160
*,normalized-tseitin-regular-n40-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,60,160
$,normalized-8_7_19.opb,0,-,193.137,0.0442059,193.239,756,3542
*,normalized-8_7_19.opb,1,0,0,0,0.003,756,3542
$,normalized-dlx1c.rwmem.ucl.opb,0,-,0.419594,0.149873,0.837849,9051,25833
*,normalized-dlx1c.rwmem.ucl.opb,1,0,0,0,0.0017,9051,25833
$,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.921741,0.028032,0.96536,93,248
*,normalized-tseitin-regular-n62-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,93,248
$,normalized-sumineqArity3pyramidP0064.opb,0,-,0.14471,0.0455627,0.266275,6435,2146
*,normalized-sumineqArity3pyramidP0064.opb,1,0,0,0,0.0015,6435,2146
$,normalized-8_7_20.opb,1,-,0.374769,0.0455299,0.492192,812,3813
*,normalized-8_7_20.opb,1,0,0,0,0.003,812,3813
$,normalized-vertexcover-grid8x25-hard.opb,0,-,0.0912951,0.022604,0.133321,200,401
*,normalized-vertexcover-grid8x25-hard.opb,1,0,0,0,0.0018,200,401
$,normalized-sumineqArity5houseP064.opb,0,-,0.517008,0.0887263,0.810532,20795,4160
*,normalized-sumineqArity5houseP064.opb,1,0,0,0,0.0017,20795,4160
$,normalized-vertexcover-grid8x19-hard.opb,0,-,0.0930149,0.024991,0.133513,152,305
*,normalized-vertexcover-grid8x19-hard.opb,1,0,0,0,0.002,152,305
$,normalized-subsetcard-eq-fixedbandwidth-35.opb,0,-,0.0438789,0.0264284,0.0849107,141,70
*,normalized-subsetcard-eq-fixedbandwidth-35.opb,1,0,0,0,0.0036,141,70
$,normalized-107.opb,1,-,8.4871,1.23588,13.0273,10238,224043
*,normalized-107.opb,1,0,0,0,0.0265,10238,224043
&,normalized-sha1-size144-round22-9.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-pigeon-cardinality-45-40.opb,0,-,0.0503126,0.0245622,0.101639,1800,85
*,normalized-pigeon-cardinality-45-40.opb,1,0,0,0,0.0015,1800,85
$,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,0,-,62.5783,0.0931173,62.903,1472,7737
*,QG-gensys-icl003.sat05-2715.reshuffled-07.opb,1,0,0,0,0.0017,1472,7737
$,normalized-t2001.13queen13.1110968431.opb,1,-,0.0718352,0.0242774,0.115955,169,101
*,normalized-t2001.13queen13.1110968431.opb,1,0,0,0,0.002,169,101
$,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,0,-,0.0414846,0.0289027,0.0860972,105,104
*,normalized-fixed-bandwidth-26.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0022,105,104
$,normalized-subsetcard-eq-random4regular-65.opb,0,-,0.0456873,0.0284872,0.0903162,261,130
*,normalized-subsetcard-eq-random4regular-65.opb,1,0,0,0,0.0037,261,130
$,normalized-vertexcover-grid6x23-hard.opb,0,-,0.0557051,0.0273293,0.0992075,138,277
*,normalized-vertexcover-grid6x23-hard.opb,1,0,0,0,0.0019,138,277
$,normalized-7_7_12.opb,0,-,0.804856,0.0304225,0.871255,380,1734
*,normalized-7_7_12.opb,1,0,0,0,0.0029,380,1734
&,normalized-sha1-size112-round22-6.opb,timeout,-1,-1,-1,-1,4128,8688
$,itox_vc1033.opb,1,-,1.04066,1.68245,7.19903,118528,348058
*,itox_vc1033.opb,1,0,0,0,0.0019,118528,348058
$,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,0,-,0.0436636,0.021483,0.0816657,269,268
*,normalized-fixed-bandwidth-67.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0019,269,268
&,normalized-sha1-size112-round23-3.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-t3002.11tsp11.1900669309.opb,1,-,0.157751,0.0380114,0.247804,231,2707
*,normalized-t3002.11tsp11.1900669309.opb,1,0,0,0,0.0014,231,2707
&,normalized-sha1-size160-round22-3.opb,timeout,-1,-1,-1,-1,4128,8736
&,normalized-sha1-size96-round23-6.opb,timeout,-1,-1,-1,-1,4288,9472
$,velev-engi-uns-1.0-4nd.opb,0,-,81.6173,0.32719,82.6589,7000,67586
*,velev-engi-uns-1.0-4nd.opb,1,0,0,0,0.0017,7000,67586
$,normalized-t3002.11tsp11.1900564822.opb,1,-,0.128339,0.0362206,0.217197,231,2707
*,normalized-t3002.11tsp11.1900564822.opb,1,0,0,0,0.0014,231,2707
$,normalized-t3002.11tsp11.1900551864.opb,0,-,1.29677,0.0290535,1.37153,231,2707
*,normalized-t3002.11tsp11.1900551864.opb,1,0,0,0,0.0013,231,2707
&,normalized-compression64_17.opb,timeout,-1,-1,-1,-1,6642,32486
$,new-difficult-20-152-18-95.opb,1,-,81.3304,0.0597983,81.5524,360,15466
*,new-difficult-20-152-18-95.opb,1,0,0,0,0.0015,360,15466
$,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.077131,0.0241496,0.117152,78,208
*,normalized-tseitin-regular-n52-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,78,208
$,normalized-ECgrid5x70split.opb,0,-,153.805,0.0276941,153.851,701,351
*,normalized-ECgrid5x70split.opb,1,0,0,0,0.0035,701,351
&,normalized-sha1-size112-round23-1.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,0,-,0.0432443,0.0226513,0.0813491,105,104
*,normalized-subsetCardinalitySigma-26-1.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0021,105,104
$,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.134922,0.0270267,0.17863,81,216
*,normalized-tseitin-regular-n54-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,81,216
$,normalized-vertexcover-grid4x11.opb,0,-,0.0416793,0.0215903,0.0774956,44,89
*,normalized-vertexcover-grid4x11.opb,1,0,0,0,0.0021,44,89
$,normalized-j1208_10-unsat.opb,0,-,15.248,0.380182,16.1769,22022,69222
*,normalized-j1208_10-unsat.opb,1,0,0,0,0.0018,22022,69222
$,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,0,-,131.271,0.0259496,131.312,114,304
*,normalized-tseitin-regular-n76-d3-i2-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,114,304
$,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,3.62325,0.0233664,3.66423,117,312
*,normalized-tseitin-regular-n78-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,117,312
$,normalized-5_7_7.opb,0,-,0.0627221,0.0312822,0.116397,156,677
*,normalized-5_7_7.opb,1,0,0,0,0.0027,156,677
$,uts-l06-ipc5-h28-unknown.opb,0,-,68.9246,2.7351,78.0149,113583,649270
*,uts-l06-ipc5-h28-unknown.opb,1,0,0,0,0.0021,113583,649270
$,normalized-TateBritain_K103.opb,1,-,78.7201,0.0828141,79.0049,7004,7212
*,normalized-TateBritain_K103.opb,1,0,0,0,0.0015,7004,7212
$,velev-live-uns-2.0-ebuf.opb,0,-,80.8422,0.724702,83.2756,14628,161477
*,velev-live-uns-2.0-ebuf.opb,1,0,0,0,0.0019,14628,161477
&,normalized-sha1-size128-round23-9.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-vertexcover-grid6x13-hard.opb,0,-,0.0500957,0.0258534,0.0898365,78,157
*,normalized-vertexcover-grid6x13-hard.opb,1,0,0,0,0.0019,78,157
$,uts-l06-ipc5-h34-unknown.opb,1,-,122.128,3.83091,136.79,184866,874988
*,uts-l06-ipc5-h34-unknown.opb,1,0,0,0,0.002,184866,874988
$,normalized-ECgrid5x60split.opb,0,-,209.368,0.0265659,209.412,601,301
*,normalized-ECgrid5x60split.opb,1,0,0,0,0.0032,601,301
$,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.494532,0.0245687,0.535468,105,280
*,normalized-tseitin-regular-n70-d3-i2-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0017,105,280
$,normalized-j1204_7-sat.opb,1,-,0.215533,0.345436,1.19318,19844,62356
*,normalized-j1204_7-sat.opb,1,0,0,0,0.0017,19844,62356
$,normalized-pigeon-cardinality-75-70.opb,0,-,0.0704557,0.036311,0.155295,5250,145
*,normalized-pigeon-cardinality-75-70.opb,1,0,0,0,0.0011,5250,145
$,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,-,0.119128,0.0518803,0.311193,2280,1636
*,normalized-fpga40_38_sat_pb.cnf.cr.opb,1,0,0,0,0.0015,2280,1636
$,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,0,-,0.0421925,0.0279082,0.0881534,301,300
*,normalized-fixed-bandwidth-75.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0018,301,300
&,normalized-pigeon-clauses-21-20.opb,timeout,-1,-1,-1,-1,420,4221
&,normalized-NG_K131.opb,timeout,-1,-1,-1,-1,15589,15853
&,normalized-20.opb,timeout,-1,-1,-1,-1,9342,199352
$,normalized-vertexcover-grid8x11-hard.opb,0,-,0.0629321,0.040909,0.122942,88,177
*,normalized-vertexcover-grid8x11-hard.opb,1,0,0,0,0.0025,88,177
$,itox_vc909.opb,1,-,0.78119,1.53081,6.50266,112115,327768
*,itox_vc909.opb,1,0,0,0,0.0019,112115,327768
$,normalized-2_3_4.opb,0,-,0.0436603,0.0252968,0.0858911,42,161
*,normalized-2_3_4.opb,1,0,0,0,0.0037,42,161
&,normalized-sha1-size128-round23-4.opb,timeout,-1,-1,-1,-1,4288,9504
$,normalized-t3002.11tsp11.1900670167.opb,0,-,0.999226,0.034633,1.08152,231,2707
*,normalized-t3002.11tsp11.1900670167.opb,1,0,0,0,0.001,231,2707
$,rbsat-v945c61409g10.opb,1,-,1093.02,0.163913,1093.79,945,61409
*,rbsat-v945c61409g10.opb,1,0,0,0,0.0019,945,61409
&,normalized-sha1-size160-round21-2.opb,timeout,-1,-1,-1,-1,3968,7936
$,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,0,-,0.33993,0.0849179,0.644311,257,7375
*,unsat-pbl-00070.sat05-1324.reshuffled-07.opb,1,0,0,0,0.0016,257,7375
$,normalized-pigeon-cardinality-81-80.opb,0,-,0.0888123,0.033491,0.178963,6480,161
*,normalized-pigeon-cardinality-81-80.opb,1,0,0,0,0.0014,6480,161
&,normalized-sha1-size128-round21-9.opb,timeout,-1,-1,-1,-1,3968,7904
$,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.16727,0.0273748,0.208829,72,192
*,normalized-tseitin-regular-n48-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,72,192
$,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,-,0.0538194,0.0273186,0.103413,293,236
*,normalized-fpga15_13_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,293,236
$,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,0,-,0.213212,0.0276169,0.258408,105,280
*,normalized-tseitin-regular-n70-d3-i1-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,105,280
$,normalized-8_6_25.opb,0,-,328.476,0.0556373,328.606,1122,5318
*,normalized-8_6_25.opb,1,0,0,0,0.0035,1122,5318
$,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.380139,0.0247156,0.422797,78,208
*,normalized-tseitin-regular-n52-d3-i2-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,78,208
$,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,0,-,0.0441625,0.026463,0.0898007,281,280
*,normalized-fixed-bandwidth-70.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0019,281,280
$,normalized-chnl50_60_pb.cnf.cr.opb,0,-,0.0732975,0.0361848,0.163778,6000,220
*,normalized-chnl50_60_pb.cnf.cr.opb,1,0,0,0,0.0016,6000,220
$,normalized-t2001.13queen13.1110967729.opb,0,-,0.093612,0.0235073,0.136374,169,101
*,normalized-t2001.13queen13.1110967729.opb,1,0,0,0,0.002,169,101
$,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,-,110.415,0.024855,110.467,210,840
*,mod2-rand3bip-sat-210-2.sat05-2159.reshuffled-07.opb,1,0,0,0,0.001,210,840
&,normalized-sha1-size112-round23-9.opb,timeout,-1,-1,-1,-1,4288,9488
$,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,0.0702249,0.0252183,0.109723,75,200
*,normalized-tseitin-regular-n50-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,75,200
$,normalized-6_6_14.opb,0,-,0.73768,0.0333677,0.80959,420,1925
*,normalized-6_6_14.opb,1,0,0,0,0.0031,420,1925
$,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,0,-,13.5896,0.0230524,13.6296,61,132
*,normalized-fixed-bandwidth-15.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0023,61,132
$,"normalized-ppp_1,3-13,19.opb",1,-,31.2769,0.128329,31.8477,4608,30348
*,"normalized-ppp_1,3-13,19.opb",1,0,0,0,0.0041,4608,30348
&,normalized-vdw_k5_l4_n750.opb,timeout,-1,-1,-1,-1,3750,467625
$,normalized-j6028_7-sat.opb,1,-,0.0960735,0.186794,0.607738,9272,30380
*,normalized-j6028_7-sat.opb,1,0,0,0,0.0017,9272,30380
$,UR-10-5p0.opb,0,-,97.1223,2.26743,103.81,104479,500869
*,UR-10-5p0.opb,1,0,0,0,0.0021,104479,500869
$,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,0,-,0.0422339,0.0234785,0.0790765,89,88
*,normalized-fixed-bandwidth-22.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0022,89,88
$,normalized-pigeon-cardinality-71-70.opb,0,-,0.0711999,0.0362429,0.15383,4970,141
*,normalized-pigeon-cardinality-71-70.opb,1,0,0,0,0.0016,4970,141
$,normalized-41.opb,1,-,891.51,0.467015,894.038,5690,119124
*,normalized-41.opb,1,0,0,0,0.0039,5690,119124
$,AProVE07-20.opb,0,-,600.361,0.33319,601.199,7847,73394
*,AProVE07-20.opb,1,0,0,0,0.0134,7847,73394
$,normalized-t2001.13queen13.1111223596.opb,1,-,0.112533,0.0227877,0.156603,169,101
*,normalized-t2001.13queen13.1111223596.opb,1,0,0,0,0.002,169,101
$,normalized-j3025_1-sat.opb,1,-,0.46717,0.115474,0.805955,5828,19158
*,normalized-j3025_1-sat.opb,1,0,0,0,0.0018,5828,19158
$,normalized-vertexcover-grid10x27-hard.opb,0,-,0.334928,0.0274911,0.381382,270,541
*,normalized-vertexcover-grid10x27-hard.opb,1,0,0,0,0.0015,270,541
$,normalized-vertexcover-completegraph-41.opb,0,-,0.0437285,0.0274524,0.0918802,41,821
*,normalized-vertexcover-completegraph-41.opb,1,0,0,0,0.0014,41,821
$,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,-,63.9596,0.0259261,64.0143,240,960
*,mod2-rand3bip-sat-240-3.sat05-2205.reshuffled-07.opb,1,0,0,0,0.0012,240,960
$,normalized-tseitin-regular-n72-d3-i3-f.cnf.gz-plain.pb.metafix.opb,0,-,0.518557,0.0271055,0.562016,108,288
*,normalized-tseitin-regular-n72-d3-i3-f.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0019,108,288
$,normalized-t2001.13queen13.1110969860.opb,0,-,0.113283,0.0220455,0.154588,169,101
*,normalized-t2001.13queen13.1110969860.opb,1,0,0,0,0.002,169,101
$,normalized-ECgrid5x110split.opb,0,-,558.606,0.0268267,558.654,1101,551
*,normalized-ECgrid5x110split.opb,1,0,0,0,0.0025,1101,551
$,em_8_4_5_all.opb,1,-,9.51345,0.189775,10.4474,2420,62900
*,em_8_4_5_all.opb,1,0,0,0,0.0019,2420,62900
$,eq.atree.braun.10.unsat.opb,0,-,753.118,0.0403901,753.211,1111,3756
*,eq.atree.braun.10.unsat.opb,1,0,0,0,0.0013,1111,3756
$,normalized-3_5_3.opb,0,-,0.0258754,0.029256,0.0725474,42,161
*,normalized-3_5_3.opb,1,0,0,0,0.0036,42,161
&,normalized-3col-almost3reg-l060-r059-n1.opb,timeout,-1,-1,-1,-1,3282,6986
$,normalized-ECgrid5x150split.opb,0,-,1362.91,0.0302605,1362.96,1501,751
*,normalized-ECgrid5x150split.opb,1,0,0,0,0.003,1501,751
$,xinetd_vc56687.opb,0,-,0.611475,1.34496,4.69465,110822,286158
*,xinetd_vc56687.opb,1,0,0,0,0.0019,110822,286158
$,normalized-ECrand4regsplit-v080-n1.opb,0,-,0.0704409,0.0280639,0.113982,159,80
*,normalized-ECrand4regsplit-v080-n1.opb,1,0,0,0,0.0037,159,80
$,normalized-rand6reg-v041-n2.opb,0,-,0.291898,0.0263742,0.331492,123,41
*,normalized-rand6reg-v041-n2.opb,1,0,0,0,0.0036,123,41
$,normalized-fpga12_11_sat_pb.cnf.cr.opb,1,-,0.0470044,0.0202388,0.0843849,198,166
*,normalized-fpga12_11_sat_pb.cnf.cr.opb,1,0,0,0,0.0017,198,166
&,normalized-167.opb,timeout,-1,-1,-1,-1,106196,2493137
$,normalized-reduced-prob4.opb,1,-,0.0422905,0.0260872,0.0852145,82,2
*,normalized-reduced-prob4.opb,1,0,0,0,0.0026,82,2
$,normalized-pigeon-cardinality-51-50.opb,0,-,0.0610029,0.0267774,0.11757,2550,101
*,normalized-pigeon-cardinality-51-50.opb,1,0,0,0,0.0012,2550,101
$,normalized-t3002.11tsp11.1900552423.opb,0,-,0.165366,0.0317679,0.243547,231,2707
*,normalized-t3002.11tsp11.1900552423.opb,1,0,0,0,0.0012,231,2707
$,normalized-3_4_7.opb,0,-,0.0499483,0.0281492,0.0968699,110,465
*,normalized-3_4_7.opb,1,0,0,0,0.003,110,465
$,normalized-ECrand4regsplit-v070-n1.opb,0,-,0.0903586,0.0239154,0.129425,139,70
*,normalized-ECrand4regsplit-v070-n1.opb,1,0,0,0,0.0038,139,70
$,normalized-t3002.11tsp11.1900581321.opb,1,-,0.143274,0.0342198,0.231189,231,2707
*,normalized-t3002.11tsp11.1900581321.opb,1,0,0,0,0.0013,231,2707
&,normalized-5_6_33.opb,timeout,-1,-1,-1,-1,1482,7073
$,normalized-7_7_11.opb,0,-,0.358715,0.0349916,0.427225,342,1553
*,normalized-7_7_11.opb,1,0,0,0,0.0032,342,1553
$,rbsat-v760c43649gyes6.opb,1,-,8.32173,0.125387,8.88371,760,43649
*,rbsat-v760c43649gyes6.opb,1,0,0,0,0.0016,760,43649
$,normalized-pigeon-cardinality-91-90.opb,0,-,0.136643,0.0362418,0.240751,8190,181
*,normalized-pigeon-cardinality-91-90.opb,1,0,0,0,0.0013,8190,181
$,normalized-j1208_6-sat.opb,1,-,315.697,0.374192,316.78,20812,65671
*,normalized-j1208_6-sat.opb,1,0,0,0,0.0016,20812,65671
$,normalized-3_6_2.opb,0,-,0.0255671,0.0243141,0.0653365,30,110
*,normalized-3_6_2.opb,1,0,0,0,0.002,30,110
$,normalized-t3002.11tsp11.1900670675.opb,0,-,0.553219,0.0350486,0.634087,231,2707
*,normalized-t3002.11tsp11.1900670675.opb,1,0,0,0,0.0016,231,2707
$,vmpc_25.opb,1,-,4.75066,0.230886,5.90897,625,76775
*,vmpc_25.opb,1,0,0,0,0.0017,625,76775
$,normalized-t2001.13queen13.1110970170.opb,1,-,0.158446,0.0275559,0.206181,169,101
*,normalized-t2001.13queen13.1110970170.opb,1,0,0,0,0.0021,169,101
&,normalized-NG_K180.opb,timeout,-1,-1,-1,-1,21420,21782
$,normalized-t3002.11tsp11.1900667195.opb,0,-,8.71725,0.0270377,8.79099,231,2707
*,normalized-t3002.11tsp11.1900667195.opb,1,0,0,0,0.0014,231,2707
$,normalized-vertexcover-grid6x13.opb,0,-,0.0483033,0.0339846,0.101592,78,157
*,normalized-vertexcover-grid6x13.opb,1,0,0,0,0.0027,78,157
$,normalized-subsetcard-geq-random4regular-60.opb,0,-,0.04474,0.0273636,0.088503,241,120
*,normalized-subsetcard-geq-random4regular-60.opb,1,0,0,0,0.0021,241,120
$,normalized-tseitin-regular-n92-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,0,-,39.8997,0.0353298,39.9539,138,368
*,normalized-tseitin-regular-n92-d3-i3-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0018,138,368
&,normalized-sha1-size144-round23-8.opb,timeout,-1,-1,-1,-1,4288,9520
&,normalized-5_6_31.opb,timeout,-1,-1,-1,-1,1332,6341
$,sat-grid-pbl-0070.sat05-1334.reshuffled-07.opb,1,-,0.657067,0.0852037,0.942459,4970,9731
*,sat-grid-pbl-0070.sat05-1334.reshuffled-07.opb,1,0,0,0,0.0013,4970,9731
$,normalized-vertexcover-grid6x27-hard.opb,0,-,0.0574967,0.0218944,0.098011,162,325
*,normalized-vertexcover-grid6x27-hard.opb,1,0,0,0,0.0017,162,325
$,normalized-vertexcover-grid4x25.opb,0,-,0.0517811,0.0269965,0.0953584,100,201
*,normalized-vertexcover-grid4x25.opb,1,0,0,0,0.002,100,201
$,normalized-tseitin-regular-n54-d3-i1-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.252771,0.027826,0.296154,81,216
*,normalized-tseitin-regular-n54-d3-i1-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0018,81,216
&,normalized-sha1-size128-round22-7.opb,timeout,-1,-1,-1,-1,4128,8704
&,normalized-sha1-size144-round22-8.opb,timeout,-1,-1,-1,-1,4128,8720
$,normalized-t2001.13queen13.1110975607.opb,0,-,0.0651652,0.0255673,0.106084,169,101
*,normalized-t2001.13queen13.1110975607.opb,1,0,0,0,0.0018,169,101
$,normalized-fpga12_12_sat_pb.cnf.cr.opb,1,-,0.04745,0.0217306,0.0882232,216,180
*,normalized-fpga12_12_sat_pb.cnf.cr.opb,1,0,0,0,0.0016,216,180
$,normalized-5_6_5.opb,0,-,0.0528138,0.0306391,0.10331,110,465
*,normalized-5_6_5.opb,1,0,0,0,0.0031,110,465
$,normalized-tseitin-regular-n42-d3-i3-r1.cnf.gz-plain.pb.metafix.opb,0,-,0.0392904,0.0209661,0.074754,63,168
*,normalized-tseitin-regular-n42-d3-i3-r1.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.002,63,168
$,normalized-regular-n21-d4-i2.cnf.gz-extracted.pb.metafix.opb,0,-,0.0508031,0.0357296,0.100931,85,84
*,normalized-regular-n21-d4-i2.cnf.gz-extracted.pb.metafix.opb,1,0,0,0,0.0065,85,84
$,sgen1-sat-160-100.opb,1,-,1054.51,0.0262874,1054.56,160,384
*,sgen1-sat-160-100.opb,1,0,0,0,0.0019,160,384
$,normalized-2_5_3.opb,1,-,0.0400581,0.0274832,0.0823083,30,110
*,normalized-2_5_3.opb,1,0,0,0,0.0035,30,110
$,normalized-sha1-size80-round21-3.opb,1,-,852.854,0.0810101,853.093,3968,7856
*,normalized-sha1-size80-round21-3.opb,1,0,0,0,0.0035,3968,7856
&,normalized-sha1-size160-round23-6.opb,timeout,-1,-1,-1,-1,4288,9536
&,normalized-137.opb,timeout,-1,-1,-1,-1,48411,1121517
$,normalized-t3002.11tsp11.1900559641.opb,1,-,0.424112,0.0329855,0.508137,231,2707
*,normalized-t3002.11tsp11.1900559641.opb,1,0,0,0,0.0013,231,2707
$,normalized-dbst_v50_e1000_d25_mw10_3.opb.PB06.opb,1,-,80.9396,7.0365,121.571,4500,2559501
*,normalized-dbst_v50_e1000_d25_mw10_3.opb.PB06.opb,1,0,0,0,0.0266,4500,2559501
$,normalized-vertexcover-grid4x21-hard.opb,0,-,0.0488506,0.0231429,0.0879606,84,169
*,normalized-vertexcover-grid4x21-hard.opb,1,0,0,0,0.0022,84,169
&,normalized-sha1-size96-round22-4.opb,timeout,-1,-1,-1,-1,4128,8672
$,normalized-compression64_27.opb,1,-,0.577441,0.622052,3.41031,8372,41046
*,normalized-compression64_27.opb,1,0,0,0,0.0039,8372,41046
$,normalized-t3002.11tsp11.1900556231.opb,0,-,4.13582,0.0320656,4.21469,231,2707
*,normalized-t3002.11tsp11.1900556231.opb,1,0,0,0,0.0013,231,2707
$,normalized-tseitin-regular-n88-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,0,-,21.7985,0.0295684,21.8443,132,352
*,normalized-tseitin-regular-n88-d3-i1-r2.cnf.gz-plain.pb.metafix.opb,1,0,0,0,0.0018,132,352
$,normalized-t2001.13queen13.1110973364.opb,0,-,0.088324,0.025137,0.132439,169,101
